Months,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
JAN,2858,2086,1879,2089,2345,2834,3999
FEB,1384,1164,2997,4468,5210,8898,24262
MAR,17313,11960,10447,8872,5480,7768,22041
APR,25162,16004,20347,11971,12335,22874,27690
MAY,62079,34381,18578,23139,22818,30403,65220
JUN,68839,35053,48039,48634,41374,52725,75649
JUL,69662,48248,45364,46513,56799,71898,103133
AUG,86240,49787,47272,39990,46929,58431,83613
SEP,68591,43406,31797,45052,50595,49865,74274
OCT,52526,22026,27048,26838,22297,39487,66655
NOV,15785,10863,8270,8400,10319,13381,20919
DEC,5100,3537,3973,4613,4715,3458,4564
